456 1701779604 0,000000 0,000000 -101,000000 0,000000 0,000000
456 1701779605 0,000000 0,000000 -101,000000 0,000000 0,000000
456 1701779606 0,000000 0,000000 -101,000000 0,000000 0,000000
456 1701779607 0,000000 0,000000 -101,000000 0,000000 0,000000
456 1701779608 4,000000 0,800000 3,200000 3,200000 -20,200000
456 1701779609 4,000000 0,800000 6,400000 6,400000 -20,200000
456 1701779610 4,000000 0,800000 9,600000 9,600000 -20,200000
456 1701779611 4,000000 0,800000 12,800000 12,800000 -20,200000
456 1701779612 4,000000 0,800000 16,000000 16,000000 -20,200000
456 1701779613 1,923077 2,600000 21,000000 21,000000 -20,200000
456 1701779614 1,923077 2,600000 26,000000 26,000000 -20,200000
456 1701779615 1,923077 2,600000 31,000000 31,000000 -20,200000
456 1701779616 1,923077 2,600000 36,000000 36,000000 -20,200000
456 1701779617 1,923077 2,600000 41,000000 41,000000 -20,200000
456 1701779618 0,703704 5,400000 44,800000 44,800000 -20,200000
456 1701779619 0,703704 5,400000 48,600000 48,600000 -20,200000
456 1701779620 0,703704 5,400000 52,400000 52,400000 -20,200000
456 1701779621 0,703704 5,400000 56,200000 56,200000 -20,200000
456 1701779622 0,703704 5,400000 60,000000 60,000000 -20,200000
456 1701779623 0,391304 9,200000 63,600000 63,600000 -20,200000
456 1701779624 0,391304 9,200000 67,200000 67,200000 -20,200000
456 1701779625 0,391304 9,200000 70,800000 70,800000 -20,200000
456 1701779626 0,391304 9,200000 74,400000 74,400000 -20,200000
456 1701779627 0,391304 9,200000 78,000000 78,000000 -20,200000
456 1701779628 0,015873 12,600000 78,200000 78,200000 -20,200000
456 1701779629 0,015873 12,600000 78,400000 78,400000 -20,200000
456 1701779630 0,015873 12,600000 78,600000 78,600000 -20,200000
456 1701779631 0,015873 12,600000 78,800000 78,800000 -20,200000
456 1701779632 0,015873 12,600000 79,000000 79,000000 -20,200000
456 1701779633 0,166667 15,600000 81,600000 81,600000 -20,200000
456 1701779634 0,166667 15,600000 84,200000 84,200000 -20,200000
456 1701779635 0,166667 15,600000 86,800000 86,800000 -20,200000
456 1701779636 0,166667 15,600000 89,400000 89,400000 -20,200000
456 1701779637 0,166667 15,600000 92,000000 92,000000 -20,200000
456 1701779638 0,107527 18,600000 94,000000 94,000000 -20,200000
456 1701779639 0,107527 18,600000 96,000000 96,000000 -20,200000
456 1701779640 0,107527 18,600000 98,000000 98,000000 -20,200000
456 1701779641 0,107527 18,600000 100,000000 100,000000 -20,200000
456 1701779642 0,107527 18,600000 102,000000 102,000000 -20,200000
456 1701779643 -0,057143 21,000000 100,800000 100,800000 -20,200000
456 1701779644 -0,057143 21,000000 99,600000 99,600000 -20,200000
456 1701779645 -0,057143 21,000000 98,400000 98,400000 -20,200000
456 1701779646 -0,057143 21,000000 97,200000 97,200000 -20,200000
456 1701779647 -0,057143 21,000000 96,000000 96,000000 -20,200000
456 1701779648 -0,057851 24,200000 94,600000 94,600000 -20,200000
456 1701779649 -0,057851 24,200000 93,200000 93,200000 -20,200000
456 1701779650 -0,057851 24,200000 91,800000 91,800000 -20,200000
456 1701779651 -0,057851 24,200000 90,400000 90,400000 -20,200000
456 1701779652 -0,057851 24,200000 89,000000 89,000000 -20,200000
456 1701779653 -0,135338 26,600000 85,400000 85,400000 -20,200000
456 1701779654 -0,135338 26,600000 81,800000 81,800000 -20,200000
456 1701779655 -0,135338 26,600000 78,200000 78,200000 -20,200000
456 1701779656 -0,135338 26,600000 74,600000 74,600000 -20,200000
456 1701779657 -0,135338 26,600000 71,000000 71,000000 -20,200000
456 1701779658 -0,041667 28,800000 69,800000 69,800000 -20,200000
456 1701779659 -0,041667 28,800000 68,600000 68,600000 -20,200000
456 1701779660 -0,041667 28,800000 67,400000 67,400000 -20,200000
456 1701779661 -0,041667 28,800000 66,200000 66,200000 -20,200000
456 1701779662 -0,041667 28,800000 65,000000 65,000000 -20,200000
