267 1701730503 0,000628 0,800000 0,000426 0,000704 0,000000
264 1701730503 0,175859 0,800000 0,139726 0,224293 0,025498
267 1701730504 0,000628 0,800000 0,000426 0,000704 0,000000
264 1701730504 0,175859 0,800000 0,139726 0,224293 0,025498
267 1701730505 0,000628 0,800000 0,000426 0,000704 0,000000
264 1701730505 0,175859 0,800000 0,139726 0,224293 0,025498
267 1701730506 0,000628 0,800000 0,000426 0,000704 0,000000
264 1701730506 0,175859 0,800000 0,139726 0,224293 0,025498
267 1701730507 0,000628 0,800000 0,000426 0,000704 0,000000
264 1701730507 0,175859 0,800000 0,139726 0,224293 0,025498
270 1701730508 0,071748 0,200000 0,071748 0,071748 0,001030
267 1701730508 0,000421 1,000000 0,000309 0,000603 0,000000
264 1701730508 0,146734 1,000000 0,137442 0,152613 0,021571
273 1701730508 0,153108 0,600000 0,148152 0,160843 0,014084
270 1701730509 0,071748 0,200000 0,071748 0,071748 0,001030
267 1701730509 0,000421 1,000000 0,000309 0,000603 0,000000
264 1701730509 0,146734 1,000000 0,137442 0,152613 0,021571
273 1701730509 0,153108 0,600000 0,148152 0,160843 0,014084
270 1701730510 0,071748 0,200000 0,071748 0,071748 0,001030
267 1701730510 0,000421 1,000000 0,000309 0,000603 0,000000
264 1701730510 0,146734 1,000000 0,137442 0,152613 0,021571
273 1701730510 0,153108 0,600000 0,148152 0,160843 0,014084
270 1701730511 0,071748 0,200000 0,071748 0,071748 0,001030
267 1701730511 0,000421 1,000000 0,000309 0,000603 0,000000
264 1701730511 0,146734 1,000000 0,137442 0,152613 0,021571
273 1701730511 0,153108 0,600000 0,148152 0,160843 0,014084
270 1701730512 0,071748 0,200000 0,071748 0,071748 0,001030
267 1701730512 0,000421 1,000000 0,000309 0,000603 0,000000
264 1701730512 0,146734 1,000000 0,137442 0,152613 0,021571
273 1701730512 0,153108 0,600000 0,148152 0,160843 0,014084
291 1701730513 0,188217 0,600000 0,160062 0,204495 0,021495
270 1701730513 0,087936 0,200000 0,087936 0,087936 0,001547
288 1701730513 0,070786 0,200000 0,070786 0,070786 0,001002
267 1701730513 0,000349 0,200000 0,000349 0,000349 0,000000
264 1701730513 0,138997 0,200000 0,138997 0,138997 0,003864
273 1701730513 0,147973 0,800000 0,137783 0,163239 0,017592
291 1701730514 0,188217 0,600000 0,160062 0,204495 0,021495
