Error: missing newline in D:\IBS_Loadrunner\Scripts\UC4_DeleteTicket\..\Parameters\Users.dat	[MsgId: MERR-13874]
Virtual User Script started at: 25/11/2023 1:15:03	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (ноя 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Alex\AppData\Local\Temp\lr5tmpdirMK1.706\lrcfg7u3.707\cfgdhN.728"  	[MsgId: MMSG-27141]
Vuser directory: "D:\IBS_Loadrunner\Scripts\UC4_DeleteTicket"  	[MsgId: MMSG-27052]
Vuser output directory: "D:\IBS_Loadrunner\Scripts\UC4_DeleteTicket"  	[MsgId: MMSG-27050]
Operating system's current working directory: "D:\IBS_Loadrunner\Scripts\UC4_DeleteTicket"  	[MsgId: MMSG-27048]
UTC (GMT) start date/time   : 2023-11-24 20:15:03  	[MsgId: MMSG-26992]
LOCAL start date/time       : 2023-11-25 01:15:03  	[MsgId: MMSG-26991]
Local daylight-Savings-Time : No  	[MsgId: MMSG-26990]
Some of the Runtime Settings:  	[MsgId: MMSG-27142]
    Download non-HTML resources: Yes  	[MsgId: MMSG-27018]
    Verification checks: No  	[MsgId: MMSG-27017]
    Convert from/to UTF-8: No  	[MsgId: MMSG-27016]
    Simulate a new user each iteration: Yes  	[MsgId: MMSG-27009]
    Non-critical item errors as warnings: Yes  	[MsgId: MMSG-27008]
    HTTP errors as warnings: No  	[MsgId: MMSG-27007]
    WinInet replay instead of Sockets: No  	[MsgId: MMSG-27006]
    HTTP version: 1.1  	[MsgId: MMSG-27005]
    Keep-Alive HTTP connections: Yes  	[MsgId: MMSG-27004]
    Max self Meta refresh updates: 2  	[MsgId: MMSG-27003]
    No proxy is used (direct connection to the Internet)  	[MsgId: MMSG-27171]
    DNS caching: Yes  	[MsgId: MMSG-27035]
    Simulate browser cache: Yes  	[MsgId: MMSG-27034]
        Cache URLs requiring content (e.g., HTMLs): Yes  	[MsgId: MMSG-27033]
            Additional URLs requiring content: None  	[MsgId: MMSG-27032]
        Check for newer versions every visit to the page: No  	[MsgId: MMSG-27031]
    Page download timeout (sec): 120  	[MsgId: MMSG-27030]
    Resource Page Timeout is a Warning: No  	[MsgId: MMSG-27029]
    ContentCheck enabled: Yes  	[MsgId: MMSG-27028]
    ContentCheck script-level file: "C:\Users\Alex\AppData\Local\Temp\lr5tmpdirMK1.706\lrcfg7u3.707\LrwiAedScript.xml"  	[MsgId: MMSG-27027]
    Enable Web Page Breakdown: Yes  	[MsgId: MMSG-27026]
    Enable connection data points: Yes  	[MsgId: MMSG-27023]
    Process socket after reschedule: Yes  	[MsgId: MMSG-27022]
    Snapshot on error: No  	[MsgId: MMSG-27021]
    Define each step as a transaction: No  	[MsgId: MMSG-27020]
    Read beyond Content-Length: No  	[MsgId: MMSG-26994]
    Parse HTML Content-Type: TEXT  	[MsgId: MMSG-26999]
    Graph hits per second and HTTP status codes: Yes  	[MsgId: MMSG-26998]
    Graph response bytes per second: Yes  	[MsgId: MMSG-26997]
    Graph pages per second: No  	[MsgId: MMSG-26996]
    Web recorder version ID: 10  	[MsgId: MMSG-26995]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(13): Notify: Transaction "UC4_DeleteTicket" started.	[MsgId: MMSG-16999]
..\\Parameters\\LibCommonTransactions.h(2): Notify: Transaction "GotoHome" started.	[MsgId: MMSG-16999]
..\\Parameters\\LibCommonTransactions.h(4): web_set_sockets_option started  	[MsgId: MMSG-26355]
..\\Parameters\\LibCommonTransactions.h(4): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
..\\Parameters\\LibCommonTransactions.h(6): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
..\\Parameters\\LibCommonTransactions.h(6): An unrecognized header ("Sec-Fetch-Dest") is being added  	[MsgId: MMSG-26595]
..\\Parameters\\LibCommonTransactions.h(6): "Sec-Fetch-Dest: document" header registered for adding to requests from all following Action functions  	[MsgId: MMSG-26505]
..\\Parameters\\LibCommonTransactions.h(6): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
..\\Parameters\\LibCommonTransactions.h(9): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
